Facility,City,State,Emissions,
Marquis Energy - Illinois LLC,HENNEPIN,IL,"505,124",Other
"Marquis Energy - Wisconsin, LLC",NECEDAH,WI,"136,084",Other
NUGEN ENERGY LLC,MARION,SD,"204,168",Other
"Nebraska Corn Processing, LLC",Cambridge,NE,"51,969",Other
ONE EARTH ENERGY LLC,GIBSON CITY,IL,"184,415",Other
"PACIFIC ETHANOL CANTON, LLC",CANTON,IL,---,Other
PATRIOT RENEWABLE FUELS LLC,ANNAWAN,IL,"180,851",Other
PINAL ENERGY,MARICOPA,AZ,---,Other
PINE LAKE CORN PROCESSORS,STEAMBOAT ROCK,IA,"124,046",Other
PINNACLE ETHANOL LLC d/b/a POET BIOREFINING - CORNING,CORNING,IA,"110,033",Other
PLAINVIEW BIOENERY LLC,PLAINVIEW,TX,"114,541",Other
"POET BIOREFINING - GOWRIE, LLC",GOWRIE,IA,"107,851",Other
POET BIOREFINING - PORTLAND,PORTLAND,IN,"115,876",Other
POET BIOREFINING ALEXANDRIA,ALEXANDRIA,IN,"138,337",Other
POET BIOREFINING GLENVILLE LLC,ALBERT LEA,MN,"76,915",Other
POET BIOREFINING LADDONIA,LADDONIA,MO,"67,472",Other
"POET BIOREFINING LEIPSIC, LLC",LEIPSIC,OH,"127,985",Other
POET BIOREFINING,JEWELL,IA,"111,870",Other
POET BIOREFINING,FOSTORIA,OH,"120,280",Other
"POET Biorefining - Caro, LLC",CARO,MI,"105,804",Other
POET Biorefining - Groton,Groton,SD,"87,870",Other
POET Biorefining - Hanlontown LLC,HANLONTOWN,IA,"102,352",Other
POET Biorefining - Hudson,HUDSON,SD,"99,741",Other
"POET Biorefining - North Manchester, LLC",NORTH MANCHESTER,IN,"123,005",Other
"POET Biorefining - Preston, LLC",PRESTON,MN,"77,681",Other
POET Biorefining - Shelbyville,Shelbyville,IN,"125,949",Other
"POET Biorefining Mitchell, LLC",MITCHELL,SD,"107,748",Other
"POET Biorefining Shell Rock, LLC.",Shell Rock,IA,"174,101",Other
"POET Biorefining- Arthur, LLC",ARTHUR,IA,"159,570",Other
"POET Biorefining- Iowa Falls, LLC",IOWA FALLS,IA,"142,205",Other
"POET Biorefining- Menlo, LLC",MENLO,IA,"180,626",Other
POET Biorefining-Chancellor,CHANCELLOR,SD,"62,194",Other
"POET Biorefining-Cloverdale, LLC",Cloverdale,IN,"29,834",Other
POET DSM Project Liberty LLC,Emmetsburg,IA,---,Other
"POET RESEARCH CENTER, INC.",SCOTLAND,SD,"16,316",Other
"POET- Biorefining Fairmont, LLC",Fairmont,NE,"164,763",Other
"Pacific Ethanol Aurora East, LLC",AURORA,NE,---,Other
"Pelican Renewables, LLC",STOCKTON,CA,0,Other
"Pennsylvania Grain Processing, LLC",Clearfield,PA,"164,959",Other
Plymouth Energy LLC,Merrill,IA,"51,991",Other
Poet Bioprocessing-Bingham Lake,BINGHAM LAKE,MN,"53,257",Other
Poet Biorefining Ashton,Ashton,IA,"94,566",Other
Poet Biorefining Fairbank LLC,FAIRBANK,IA,"196,145",Other
"Poet Biorefining Lake Crystal, LLC",LAKE CRYSTAL,MN,"81,703",Other
Poet Biorefining-Big Stone,Big Stone City,SD,"96,558",Other
Poet Biorefining-Coon Rapids,COON RAPIDS,IA,"79,543",Other
Poet Biorefining-Macon,Macon,MO,"46,860",Other
Pratt Energy LLC,Pratt,KS,"65,352",Other
PureField Ingredients LLC,RUSSELL,KS,"53,728",Other
QUAD CNTY CORN PROCESSORS,GALVA,IA,"70,827",Other
"RED TRAIL ENERGY, LLC",RICHARDTON,ND,"86,232",Other
REDFIELD ENERGY LLC,REDFIELD,SD,"68,250",Other
Red River Energy,Rosholt,SD,"44,450",Other
Ringneck Energy,Onida,SD,"101,614",Other
SHOW ME ETHANOL,CARROLLTON,MO,"109,314",Other
SIOUXLAND ENERGY COOPERATIVE,SIOUX CENTER,IA,"87,511",Other
"SIOUXLAND ETHANOL, LLC",JACKSON,NE,"105,130",Other
SOUTHWEST IOWA RENEWABLE ENERGY,COUNCIL BLUFFS,IA,"145,413",Other
"STERLING ETHANOL, LLC",STERLING,CO,"54,556",Other
"Sandhills Renewable Energy, LLC",ATKINSON,NE,"68,479",Other
"South Bend Ethanol, LLC.",SOUTH BEND,IN,"125,746",Other
Summit Sustainable Ingredients DBA Amber Wave,PHILLIPSBURG,KS,"53,316",Other
THARALDSON ETHANOL PLANT I LLC,CASSELTON,ND,"251,713",Other
THE ANDERSONS MARATHON HOLDINGS LLC,GREENVILLE,OH,"197,846",Other
THE ANDERSONS MARATHON HOLDINGS LLC,LOGANSPORT,IN,"191,801",Other
THE ANDERSONS MARATHON HOLDINGS LLC,DENISON,IA,"72,860",Other
THE ANDERSONS MARATHON HOLDINGS LLC,ALBION,MI,"206,858",Other
TRENTON AGRI PRODUCTS,TRENTON,NE,"48,700",Other
Three Rivers Energy LLC,Coshocton,OH,"67,135",Other
"UNITED ETHANOL, LLC",MILTON,WI,"96,346",Other
UNITED WISCONSIN GRAIN PRODUCERS LLC,FRIESLAND,WI,"86,983",Other
VALERO ALBERT CITY PLANT,ALBERT CITY,IA,"189,653",Other
VALERO RENEWABLE FUELS LLC,AURORA,SD,"201,939",Other
VALERO WELCOME PLANT,WELCOME,MN,"188,618",Other
VOYAGER ETHANOL LLC,EMMETSBURG,IA,"85,822",Other
Valero Bloominburg Plant,BLOOMINGBURG,OH,"196,764",Other
Valero Fort Dodge Plant,FORT DODGE,IA,"195,687",Other
Valero Hartley Plant,HARTLEY,IA,"192,779",Other
Valero Lakota Plant,LAKOTA,IA,"111,809",Other
Valero Linden Plant,LINDEN,IN,"211,216",Other
"Valero Renewable Fuels Campany LLC, dba Valero Albion Plant",ALBION,NE,"188,635",Other
"Valero Renewable Fuels Company, LLC d/b/a Valero Mt. Vernon Plant",MT. VERNON,IN,"177,595",Other
Valero Renewable Fuels LLC Charles City,CHARLES CITY,IA,"201,940",Other
"Valero Renewable Fuels, LLC DBA Valero Riga",RIGA,MI,---,Other
"Valero Renewable Fuels, LLC d/b/a Valero Bluffton Plant",BLUFFTON,IN,"180,313",Other
WE HEREFORD LLC,HEREFORD,TX,"105,275",Other
WESTERN NEW YORK ENERGY LLC,MEDINA,NY,"82,822",Other
WESTERN PLAINS ENERGY LLC,OAKLEY,KS,"39,373",Other
"YUMA ETHANOL, LLC",YUMA,CO,"54,450",Other
